x1,x2,pdf,E(x1),E(x1^2),E(x1-E(x1)),,,x1,x2,pdf_nn,E(x1),E(x1^2),,,TESTING,x,P(x),E(x),E(x^2),E(x-mux)^2,
8979.591797,-4.552104,0,0,0,0,,,8979.591797,-4.552104,0,0,0,0,,,,,,,,
7020.408203,-4.167419,0,0,0,0,,,7020.408203,-4.167419,0,0,0,0,,,,,,,,
7061.224609,-4.167419,0,0,0,0,,,7061.224609,-4.167419,0,0,0,0,,,,,,,,
7102.041016,-4.167419,0,0,0,0,,,7102.041016,-4.167419,0,0,0,0,,,,,,,,
7142.857422,-4.167419,0,0,0,0,,,7142.857422,-4.167419,0,0,0,0,,,,,,,,
7183.67334,-4.167419,0,0,0,0,,,7183.67334,-4.167419,0,0,0,0,,,,,,,,
7224.489746,-4.167419,0,0,0,0,,,7224.489746,-4.167419,0,0,0,0,,,,,,,,
7265.306152,-4.167419,0,0,0,0,,,7265.306152,-4.167419,0,0,0,0,,,,,,,,
7306.122559,-4.167419,0,0,0,0,,,7306.122559,-4.167419,0,0,0,0,,,,,,,,
7346.938965,-4.167419,0,0,0,0,,,7346.938965,-4.167419,0,0,0,0,,,,,,,,
7387.754883,-4.167419,0,0,0,0,,,7387.754883,-4.167419,0,0,0,0,,,,,,,,
7428.571289,-4.167419,0,0,0,0,,,7428.571289,-4.167419,0,0,0,0,,,,,,,,
7469.387695,-4.167419,0,0,0,0,,,7469.387695,-4.167419,0,0,0,0,,,,,,,,
7510.204102,-4.167419,0,0,0,0,,,7510.204102,-4.167419,0,0,0,0,,,,,,,,
7551.020508,-4.167419,0,0,0,0,,,7551.020508,-4.167419,0,0,0,0,,,,,,,,
7591.836914,-4.167419,0,0,0,0,,,7591.836914,-4.167419,0,0,0,0,,,,,,,,
7632.65332,-4.167419,0,0,0,0,,,7632.65332,-4.167419,0,0,0,0,,,,,,,,
7673.469238,-4.167419,0,0,0,0,,,7673.469238,-4.167419,0,0,0,0,,,,,,,,
7714.285645,-4.167419,0,0,0,0,,,7714.285645,-4.167419,0,0,0,0,,,,,,,,
7755.102051,-4.167419,0,0,0,0,,,7755.102051,-4.167419,0,0,0,0,,,,,,,,
7795.918457,-4.167419,0,0,0,0,,,7795.918457,-4.167419,0,0,0,0,,,,,,,,
