
===== logging start 2025-10-28 09:37:29 =====
--- Best Epoch: 1475, Loss: 1.7832e-07, IC: 1.7832e-07, Res: 4.0878e-16 ---
--- Best Epoch: 1576, Loss: 1.7719e-07, IC: 1.7674e-07, Res: 4.4938e-10 ---
--- Best Epoch: 1585, Loss: 1.7363e-07, IC: 1.7363e-07, Res: 3.8306e-22 ---
--- Best Epoch: 1587, Loss: 1.6910e-07, IC: 1.6910e-07, Res: 6.4754e-37 ---
--- Best Epoch: 1592, Loss: 1.6792e-07, IC: 1.6792e-07, Res: 8.3800e-30 ---
--- Best Epoch: 1594, Loss: 1.6488e-07, IC: 1.6488e-07, Res: 2.3647e-28 ---
--- Best Epoch: 1598, Loss: 1.6378e-07, IC: 1.6378e-07, Res: 2.3640e-22 ---
--- Best Epoch: 1607, Loss: 1.5903e-07, IC: 1.5903e-07, Res: 5.8065e-28 ---
--- Best Epoch: 1618, Loss: 1.4678e-07, IC: 1.4678e-07, Res: 6.9024e-20 ---
--- Best Epoch: 1661, Loss: 1.3053e-07, IC: 1.3053e-07, Res: 4.5568e-13 ---
--- Best Epoch: 1718, Loss: 1.2830e-07, IC: 1.2830e-07, Res: 4.1226e-22 ---
--- Best Epoch: 1723, Loss: 1.2015e-07, IC: 1.2015e-07, Res: 8.5425e-24 ---
--- Best Epoch: 1794, Loss: 1.1534e-07, IC: 1.1534e-07, Res: 5.9163e-22 ---
--- Best Epoch: 1830, Loss: 1.0654e-07, IC: 1.0654e-07, Res: 4.9103e-20 ---
--- Best Epoch: 1867, Loss: 9.7746e-08, IC: 9.7746e-08, Res: 7.8473e-18 ---
--- Best Epoch: 1892, Loss: 9.6167e-08, IC: 9.6167e-08, Res: 1.4029e-18 ---
--- Best Epoch: 1908, Loss: 9.4791e-08, IC: 9.4791e-08, Res: 6.5632e-20 ---
--- Best Epoch: 1912, Loss: 9.4390e-08, IC: 9.4390e-08, Res: 5.7465e-16 ---
--- Best Epoch: 1976, Loss: 9.3805e-08, IC: 9.3805e-08, Res: 5.5285e-21 ---
--- Best Epoch: 1992, Loss: 9.2457e-08, IC: 9.2457e-08, Res: 2.6600e-34 ---
[info] Training epoch: 2000, LR: 9.02e-04
--- Best Epoch: 2002, Loss: 9.2410e-08, IC: 9.2410e-08, Res: 4.3787e-35 ---
--- Best Epoch: 2003, Loss: 8.8873e-08, IC: 8.8873e-08, Res: 1.1234e-18 ---
--- Best Epoch: 2009, Loss: 8.6721e-08, IC: 8.6721e-08, Res: 4.1097e-16 ---
--- Best Epoch: 2010, Loss: 8.2940e-08, IC: 8.2940e-08, Res: 5.2461e-26 ---
--- Best Epoch: 2040, Loss: 8.2888e-08, IC: 8.2888e-08, Res: 6.6648e-31 ---
--- Best Epoch: 2046, Loss: 8.2484e-08, IC: 8.2484e-08, Res: 6.1203e-18 ---
--- Best Epoch: 2053, Loss: 7.8457e-08, IC: 7.8456e-08, Res: 2.5993e-13 ---
--- Best Epoch: 2078, Loss: 7.2875e-08, IC: 7.2875e-08, Res: 2.8794e-28 ---
--- Best Epoch: 2117, Loss: 7.0396e-08, IC: 7.0396e-08, Res: 4.1901e-15 ---
--- Best Epoch: 2129, Loss: 6.9153e-08, IC: 6.9153e-08, Res: 2.0019e-15 ---
--- Best Epoch: 2149, Loss: 6.5994e-08, IC: 6.5994e-08, Res: 9.0410e-28 ---
--- Best Epoch: 2393, Loss: 6.5772e-08, IC: 6.5772e-08, Res: 4.1134e-26 ---
--- Best Epoch: 2409, Loss: 6.1987e-08, IC: 6.1987e-08, Res: 2.4034e-24 ---
--- Best Epoch: 2422, Loss: 6.0291e-08, IC: 6.0291e-08, Res: 1.5221e-14 ---
--- Best Epoch: 2437, Loss: 5.9312e-08, IC: 5.9312e-08, Res: 1.3520e-16 ---
--- Best Epoch: 2444, Loss: 5.8226e-08, IC: 5.8226e-08, Res: 6.3778e-25 ---
--- Best Epoch: 2465, Loss: 5.6128e-08, IC: 5.6128e-08, Res: 7.0331e-22 ---
--- Best Epoch: 2483, Loss: 5.5030e-08, IC: 5.5030e-08, Res: 5.0090e-38 ---
--- Best Epoch: 2527, Loss: 5.3850e-08, IC: 5.3850e-08, Res: 2.9254e-30 ---
--- Best Epoch: 2530, Loss: 5.3482e-08, IC: 5.3482e-08, Res: 5.7930e-15 ---
--- Best Epoch: 2532, Loss: 5.2810e-08, IC: 5.2810e-08, Res: 5.5495e-15 ---
--- Best Epoch: 2553, Loss: 5.1108e-08, IC: 5.1108e-08, Res: 1.2480e-29 ---
--- Best Epoch: 2561, Loss: 4.8854e-08, IC: 4.8854e-08, Res: 2.1286e-27 ---
--- Best Epoch: 2571, Loss: 4.8616e-08, IC: 4.8616e-08, Res: 1.2240e-23 ---
--- Best Epoch: 2655, Loss: 4.3429e-08, IC: 4.3429e-08, Res: 1.1500e-19 ---
--- Best Epoch: 2721, Loss: 4.3062e-08, IC: 4.3062e-08, Res: 6.5314e-24 ---
--- Best Epoch: 2724, Loss: 4.2615e-08, IC: 4.2613e-08, Res: 1.8445e-12 ---
--- Best Epoch: 2771, Loss: 4.2568e-08, IC: 4.2568e-08, Res: 1.2190e-20 ---
--- Best Epoch: 2780, Loss: 4.0685e-08, IC: 4.0685e-08, Res: 1.1761e-15 ---
--- Best Epoch: 2794, Loss: 4.0166e-08, IC: 4.0166e-08, Res: 1.6247e-31 ---
--- Best Epoch: 2826, Loss: 3.7442e-08, IC: 3.7442e-08, Res: 1.4567e-24 ---
--- Best Epoch: 2848, Loss: 3.7424e-08, IC: 3.7424e-08, Res: 2.5047e-18 ---
[info] Training epoch: 3000, LR: 8.57e-04
--- Best Epoch: 3060, Loss: 3.6537e-08, IC: 3.6537e-08, Res: 4.5076e-26 ---
